1,Moreno,357,T4117,MARIÑO
2,Güemes,22,T4146,KILOMETRO 66 (APEADERO FCGB)
3,Mitre,67,Y4622,MAIMARA
4,Chile,898,B2707,CUATRO DE NOVIEMBRE
5,Sarmiento,803,Z9013,CAÑADON SECO
6,Chile,492,B1742,BARRIO ARCO IRIS
7,Chile,543,W3476,JUSTINO SOLARI
8,Dorrego,664,B1888,BARRIO SAN NICOLAS
9,Saavedra,635,E3133,BARRANCAS COLORADAS
10,Dorrego,187,E3203,PEDERMAR
11,Sarmiento,456,X5129,MONTE DEL ROSARIO
12,Laprida,576,A4415,BARRIO NEGRO (MINAS)
13,Rivadavia,447,T4111,QUILMES (PALA PALA
14,French,662,G4203,CONZO
15,Sarmiento,165,P3634,MEDIA LUNA (LAGUNA YEMA
16,Pueyrredón,738,Y4600,JUJUY
17,Belgrano,940,B6031,FORTIN ACHA
18,Mitre,780,S3076,LAGUNA VERDE
19,Laprida,601,K4751,PUERTA DEL CORRAL QUEMADO
20,Güemes,382,B7116,PILA
21,San Martín,544,Q8375,ZULEMITA
22,Saavedra,922,G4613,SUNCHO POZO (BREA POZO
23,Moreno,586,S3046,LA JULIA
24,Alsina,411,B7601,SAN JOSE DE OTAMENDI
25,San Martín,219,P3632,POZO DEL MORTERO
26,Tucumán,587,X5223,CAROYA
27,O'Higgins,868,N3363,9 DE JULIO (ALBA POSSE
28,Sarmiento,317,R8520,BARRIO LAGUNA
29,Tucumán,738,M5603,LOS PEJES
30,Laprida,200,L8204,DIECISIETE DE AGOSTO
31,Belgrano,89,B6608,MAUENL JOSE GRACIA
32,Sarmiento,718,D5713,SAN PEDRO (CANDELARIA
33,España,45,U9200,ARROYO PESCADO
34,San Martín,518,K4700,BANDA VARELA
35,Sarmiento,171,F5276,NEPES
36,San Martín,616,Q8370,LA FORTUNA
37,Alberdi,884,D5763,GENERAL URQUIZA
38,Lavalle,970,W3416,EL SOMBRERO
39,Dorrego,785,W3414,YAGUA ROCAU
40,Sarmiento,800,D6279,LOS CHAÑARES (DIXONVILLE
41,España,384,Y4512,LOTE SAN ANTONIO
42,Alsina,389,R8422,MANCULLIQUE
43,Mitre,294,E3101,CAMPO RIQUELME
44,Pueyrredón,20,B2700,SANTA RITA (PERGAMINO
45,O'Higgins,483,L6361,LA MARIA (AGUSTONI
46,Tucumán,894,G5255,PUESTO DE ARRIBA
47,French,427,W3427,ORATORIO (MBURUCUYA
48,French,60,W3470,ARROYO GRANDE
49,San Martín,183,B6241,EMILIO V. BUNGE
50,Urquiza,359,X2572,LAS MERCEDITAS
51,Dorrego,448,X5947,VILLA SAN ESTEBAN
52,Chile,906,H3514,LAGUNA ESCONDIDA
53,Moreno,793,Y4608,SAN JUANCITO (EMBARCADERO FCGB)
54,French,646,S3023,PROGRESO
55,San Martín,578,W3196,SAN ROQUE (ESQUINA - DPTO. ESQUINA)
56,España,747,K4715,LAS BURRAS
57,Belgrano,850,R8400,LOS JUNCOS (DPTO. PILCANIYEU)
58,Urquiza,155,A4434,LA PUNTILLA
59,Belgrano,727,K5265,SAUCE DE LOS CEJAS
60,España,310,Y4641,DONCELLAS
61,Alberdi,526,X5120,CURAPALIGUE
62,Moreno,463,G4354,LA TAPA
63,San Martín,885,M5611,LOS PARLAMENTOS (APEADERO FCGSM)
64,Rivadavia,320,E3116,KILOMETRO 45 (APEADERO FCGU
65,Laprida,740,F5361,EL POTRERILLO (EL CHOCOY
66,Moreno,172,A4415,QUEBRADA DE ESCOIPE
67,Pueyrredón,131,A4423,PALMIRA
68,Mitre,343,W3416,KILOMETRO 476
69,España,767,G4338,EL FAVORITO
70,Saavedra,189,F5717,KILOMETRO 732 (APEADERO FCGB)
71,Sarmiento,699,N3386,PUERTO PRESIDENTE AVELLANEDA
72,Saavedra,219,H3543,ENRIQUE URIEN
73,Moreno,463,G4197,CORRAL QUEMADO
74,Laprida,527,X5900,BARRIO FLORENTINO AMEGHINO
75,Belgrano,670,G3749,NUEVO LIBANO
76,Dorrego,599,A4550,COLONIA OTOMANA
77,Saavedra,205,X5143,BARRIO MULLER
78,French,183,W3342,TAREIRI
79,French,636,P3604,GRAN GUARDIA
80,Alsina,135,T4142,LA CAÑADA (TACO RALO
81,Tucumán,792,E3269,HAMBIS
82,Dorrego,425,G4321,TRONCAL
83,San Martín,341,A4427,PAYOGASTILLA
84,Moreno,595,B8000,ADELA CORTI
85,Moreno,327,B2909,JUAN G. PUJOL
86,Mitre,865,W3480,BLANCO CUE
87,San Martín,603,X2426,LA FRANCIA
88,Pueyrredón,548,X5284,SANTA ANA (PASO VIEJO-DPTO.CRUZ DEL EJE)
89,Chile,712,Y4632,PUEBLO VIEJO
90,Dorrego,895,G5250,POZO ESCONDIDO
91,Belgrano,871,M5560,CAPIZ
92,Güemes,312,B1824,LANUS ESTAFETA No.10
93,Alsina,444,X5284,SOTO
94,Urquiza,901,W3344,MALEZAL (TORRENT
95,Lavalle,356,B6561,SAN BERNARDO (PDO. TAPALQUE)
96,Rivadavia,375,T4163,PUESTO NUEVO
97,Lavalle,503,G2356,DOÑA LORENZA
98,Tucumán,410,X5151,PUENTE NEGRO
99,Sarmiento,557,D5721,BEAZLEY
100,Tucumán,691,G4205,SAN BENITO (LAPRIDA-DPTO.CHOYA)
101,Belgrano,990,G4187,BOBADAL
102,San Martín,105,T4195,POZO LARGO
103,Urquiza,84,W3403,LAS PALMITAS (SAL LUIS DEL PALMAR
104,French,859,S2123,VILLA PORUCCI
105,French,642,X5236,EL CRESTON DE PIEDRA
106,Pueyrredón,603,S2200,LAS QUINTAS
107,Dorrego,317,T4182,COLMENA LOLITA
108,Saavedra,155,B1744,RIO ALEGRE DE CASCALLARES
109,Urquiza,36,G4353,DOLORES CENTRAL
110,Alberdi,226,B1763,BARRIO SAN IGNACIO (VIRREY DEL PINO
111,Alsina,297,S3046,NUEVA UKRANIA
112,O'Higgins,582,U9107,LAGUNA GRANDE (EMBARCADERO FCGR)
113,Tucumán,341,L6331,SAN MIGUEL (MIGUEL CANE
114,Saavedra,872,B1649,ARROYO CANCHA LARGA
