postal_code;locality_name;state_name;lat;lon
A3636;POZO CERCADO (EL CHORRO (F), DPTO. RIVADAVIA (S));Salta;"Argentina";-23.4933;-61.9267
A4123;LAS SALADAS;Salta;"Argentina";-25.7833;-64.5
A4126;EL JARDIN;Salta;"Argentina";-26.0833;-65.3833
A4126;CEIBAL;Salta;"Argentina";-26.1;-65.0167
A4126;CANDELARIA;Salta;"Argentina";-26.1;-65.1
A4126;EL BRETE;Salta;"Argentina";-26.0667;-65.3667
A4126;TALA;Salta;"Argentina";-26.1167;-65.2833
A4126;RUIZ DE LOS LLANOS;Salta;"Argentina";-26.1167;-65.2833
A4126;LOS MOGOTES;Salta;"Argentina";-26.0333;-65.2
A4126;BRETE;Salta;"Argentina";-26.0667;-65.3667
A4126;SALAZAR;Salta;"Argentina";-26.0833;-65.263
A4126;OVEJERO;Salta;"Argentina";-26.0833;-65.263
A4126;SAN PEDRO DE ARANDA;Salta;"Argentina";-26.0833;-65.263
A4126;EL CUIBAL;Salta;"Argentina";-26.0833;-65.263
A4126;BARADERO;Salta;"Argentina";-26.0833;-65.263
A4126;ALEM;Salta;"Argentina";-26.0833;-65.263
A4126;EL SUNCHAL;Salta;"Argentina";-26.0833;-65.263
A4126;LA MARAVILLA;Salta;"Argentina";-26.0833;-65.263
A4126;LA ASUNCION;Salta;"Argentina";-26.0833;-65.263
A4126;MIRAFLORES (TALA, DPTO. CANDELARIA);Salta;"Argentina";-26.0833;-65.263
A4141;QUISCA GRANDE;Salta;"Argentina";-26.4367;-65.97
A4141;LA CIENEGUITA;Salta;"Argentina";-26.4367;-65.97
A4141;TOLOMBON;Salta;"Argentina";-26.2;-65.9167
A4141;MACHO RASTROJO;Salta;"Argentina";-26.4367;-65.97
A4190;OVANDO;Salta;"Argentina";-25.8;-65.1
A4190;ROSARIO DE LA FRONTERA;Salta;"Argentina";-25.8;-64.9667
A4190;POTRERILLO (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.8;-65.0333
A4190;VILLA AURELIA;Salta;"Argentina";-25.8;-65.0333
A4190;LA MATILDE;Salta;"Argentina";-25.8;-65.0333
A4190;SANTA TERESA;Salta;"Argentina";-25.8;-65.0333
A4190;BAJADA;Salta;"Argentina";-25.8;-65.0333
A4190;LOS POCITOS;Salta;"Argentina";-25.8;-65.0333
A4190;EL PORTEZUELO;Salta;"Argentina";-25.8;-65.0333
A4190;SAN ESTEBAN;Salta;"Argentina";-25.8;-65.0333
A4190;LAS PIEDRITAS;Salta;"Argentina";-25.8;-65.0333
A4190;OJO DE AGUA (ROSARIO DE LA FRONTERA, DPTO. R.DE LA FRONTERA);Salta;"Argentina";-25.8;-65.0333
A4190;VIADUCTO EL MUÑAL;Salta;"Argentina";-25.8;-65.0333
A4190;LA BANDA (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.8;-65.0333
A4190;BARBAYASCO;Salta;"Argentina";-25.8;-65.0333
A4190;PALOMAR;Salta;"Argentina";-25.8;-65.0333
A4190;CONDOR (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.8;-65.0333
A4190;DURAZNITO;Salta;"Argentina";-25.8;-65.0333
A4190;COSME;Salta;"Argentina";-25.8;-65.0333
