transport_id;transport_type;average_speed;available;max_capacity
1001;boat;39.62;true;26541681.47
1002;boat;33.08;false;40754259.21
1003;boat;35.23;true;39349085.08
1004;boat;38.13;false;19424444.02
1005;boat;36.42;true;36569805.42
1006;boat;30.46;true;15517786.53
1007;boat;34.92;false;31597212.77
1008;boat;36.62;true;40282259.98
1009;boat;38.43;false;11014624.33
1010;boat;33.74;true;37533515.05
1011;boat;34.54;true;29867812.55
1012;boat;38.54;false;15928128.92
1013;boat;37.52;true;42998153.18
1014;boat;36.17;true;19069173.79
1015;boat;30.13;false;24899937.04
1016;boat;39.61;false;25681590.75
1017;boat;32.36;false;30736851.53
1018;boat;30.76;false;34418421.01
1019;boat;37.66;false;5609410.63
1020;boat;32.92;false;49248904.75
1021;boat;30.53;true;5116380.86
1022;boat;36.35;true;49276717.40
1023;boat;34.02;false;39853355.42
1024;boat;38.98;false;38414233.65
1025;boat;32.35;false;18763722.29
1026;boat;39.48;true;24028292.50
1027;boat;31.24;false;11077849.78
1028;boat;38.64;false;26886742.48
1029;boat;34.77;true;43708695.58
1030;boat;37.17;true;13097027.20
1031;boat;33.45;true;44310356.96
1032;boat;31.56;false;10645829.20
1033;boat;30.73;true;30538136.22
1034;boat;33.24;false;33746823.93
1035;boat;36.05;true;48038005.96
1036;boat;32.27;true;43337945.78
1037;boat;32.12;true;34997773.46
1038;boat;35.41;false;44308744.06
1039;boat;38.54;true;30716776.44
1040;boat;39.34;true;21505317.18
1041;boat;33.38;false;24928606.34
1042;boat;38.53;true;13497654.47
1043;boat;35.45;false;40340091.00
1044;boat;38.39;false;32739751.62
1045;boat;35.50;false;13480469.68
1046;boat;37.96;true;30794570.27
1047;boat;33.58;false;5481401.77
1048;boat;38.22;true;31700442.73
1049;boat;30.19;true;41118194.05
1050;boat;38.97;true;14391519.45
1051;boat;38.82;true;28328117.62
1052;boat;39.53;false;28599866.31
1053;boat;31.21;false;40452904.01
1054;boat;30.66;false;15605689.92
1055;boat;38.66;true;33718134.37
1056;boat;31.66;false;38322821.77
1057;boat;37.39;false;25363526.38
1058;boat;38.22;false;43798585.19
1059;boat;32.13;false;23384571.42
1060;boat;30.44;false;22064369.38
1061;boat;35.71;true;48231544.64
1062;boat;38.87;true;26714420.82
1063;boat;38.56;false;6116081.40
1064;boat;32.15;false;36804591.21
1065;boat;37.91;false;16849550.10
1066;boat;35.13;false;8128103.84
1067;boat;35.27;true;42692156.61
1068;boat;30.38;true;35124551.72
1069;boat;39.25;false;22822367.68
1070;boat;36.04;false;41186782.57
1071;boat;32.75;false;46870309.46
1072;boat;33.16;true;43223588.85
1073;boat;35.56;true;49774150.83
1074;boat;30.02;false;16448884.46
1075;boat;31.37;false;5953967.35
1076;boat;38.36;true;27610155.88
1077;boat;32.57;false;38614422.35
1078;boat;30.86;false;27563531.67
1079;boat;34.01;false;28108214.48
1080;boat;30.79;false;9056715.08
1081;boat;31.81;true;21364507.99
