transport_id;transport_type;average_speed;available;max_capacity
2001;plane;776.94;true;13229.56
2002;plane;894.11;true;8364.26
2003;plane;720.30;true;13328.96
2004;plane;891.40;false;11445.71
2005;plane;838.71;true;13934.14
2006;plane;807.71;false;10242.22
2007;plane;795.76;true;11702.52
2008;plane;727.91;true;13526.79
2009;plane;710.19;true;10934.98
2010;plane;890.64;true;7102.78
2011;plane;883.84;false;11831.95
2012;plane;726.74;true;10150.64
2013;plane;756.91;false;8197.11
2014;plane;794.58;false;9683.07
2015;plane;852.13;true;11482.30
2016;plane;773.81;true;10432.08
2017;plane;855.80;false;7625.86
2018;plane;847.53;false;8238.30
2019;plane;721.97;false;13031.37
2020;plane;880.06;false;11892.01
2021;plane;858.50;false;10144.77
2022;plane;727.04;true;11131.45
2023;plane;751.40;true;8056.15
2024;plane;732.21;false;10049.07
2025;plane;829.97;true;12512.33
2026;plane;761.05;false;7253.97
2027;plane;782.15;false;9812.99
2028;plane;768.04;true;13403.90
2029;plane;768.81;false;7638.92
2030;plane;744.64;false;12025.73
2031;plane;888.13;true;9480.13
2032;plane;757.44;true;7895.83
2033;plane;875.18;false;13935.83
2034;plane;785.53;false;11555.63
2035;plane;742.42;true;10339.41
2036;plane;899.45;true;7754.00
2037;plane;768.23;false;8322.99
2038;plane;810.35;true;9249.23
2039;plane;760.14;false;9411.33
2040;plane;853.28;true;9873.71
2041;plane;765.89;true;7273.88
2042;plane;756.67;true;12581.45
2043;plane;741.74;true;9924.29
2044;plane;719.72;false;10168.21
2045;plane;784.59;false;7789.88
2046;plane;859.53;true;11727.89
2047;plane;807.55;false;9475.25
2048;plane;870.00;false;13812.03
2049;plane;830.66;true;11371.71
2050;plane;878.46;false;7401.64
2051;plane;746.26;true;8129.82
2052;plane;896.07;false;10485.96
2053;plane;804.01;true;9321.93
2054;plane;756.76;false;7713.94
2055;plane;813.08;true;11563.98
2056;plane;733.59;false;11225.41
2057;plane;764.14;false;8176.88
2058;plane;875.73;true;9185.89
2059;plane;816.05;true;11254.93
2060;plane;830.62;false;9623.50
2061;plane;712.19;true;10830.64
2062;plane;749.32;true;8242.83
2063;plane;708.64;true;9421.28
2064;plane;826.99;true;7560.56
2065;plane;856.33;false;7015.61
2066;plane;734.41;true;7250.85
2067;plane;708.99;false;9176.39
2068;plane;812.14;true;9476.73
2069;plane;831.65;false;12176.56
2070;plane;717.10;true;7201.24
2071;plane;898.48;true;13446.46
2072;plane;819.93;false;10791.69
2073;plane;769.69;true;8619.00
2074;plane;704.46;true;12771.74
2075;plane;855.04;true;9077.92
2076;plane;852.97;true;10639.80
2077;plane;718.91;false;12132.61
2078;plane;746.01;true;13735.99
2079;plane;897.36;true;13214.63
2080;plane;700.99;false;13374.12
2081;plane;880.55;false;13498.05
2082;plane;702.19;false;13891.93
2083;plane;899.20;false;8996.19
2084;plane;865.40;false;8311.94
2085;plane;813.80;false;8181.28
2086;plane;799.66;false;9795.95
2087;plane;849.25;true;12432.65
2088;plane;823.39;true;12973.64
2089;plane;753.83;false;11785.88
2090;plane;848.36;true;10369.22
2091;plane;811.61;true;7939.73
2092;plane;722.58;true;8947.53
2093;plane;815.48;false;13414.94
2094;plane;752.39;true;13113.00
2095;plane;731.68;false;12941.82
2096;plane;702.20;false;7029.33
2097;plane;768.90;true;7305.70
2098;plane;860.82;true;11729.96
2099;plane;899.35;false;9399.61
2100;plane;721.91;true;9441.25
2101;plane;724.17;false;10043.88
2102;plane;766.16;false;13153.77
2103;plane;743.75;false;7183.87
2104;plane;858.45;true;10775.77
2105;plane;863.56;true;9972.16
2106;plane;825.89;false;11812.09
2107;plane;700.05;true;11271.92
2108;plane;803.86;false;12224.76
2109;plane;837.91;false;9824.81
2110;plane;863.07;false;11612.77
2111;plane;856.83;false;7467.69
2112;plane;833.58;true;7687.09
2113;plane;702.46;true;9348.74
2114;plane;886.67;false;7130.38
2115;plane;763.44;true;7643.21
2116;plane;843.69;true;8034.97
2117;plane;791.97;false;13107.02
2118;plane;828.25;true;11911.31
2119;plane;707.48;true;12012.46
2120;plane;826.70;false;13492.29
2121;plane;751.72;false;11094.02
