transport_id;transport_type;average_speed;available;max_capacity
1;truck;69.69;false;6448.78
2;truck;69.71;false;6110.17
3;truck;67.22;false;12352.49
4;truck;68.32;true;10128.43
5;truck;65.96;false;11390.83
6;truck;66.30;false;17786.86
7;truck;68.46;false;6042.61
8;truck;67.04;true;9289.33
9;truck;65.74;false;12118.49
10;truck;66.80;true;12600.95
11;truck;68.46;true;10742.13
12;truck;66.56;true;16583.43
13;truck;67.51;true;11997.96
14;truck;69.64;false;12359.02
15;truck;69.19;false;14481.81
16;truck;65.07;false;10693.04
17;truck;68.49;false;10356.21
18;truck;68.38;false;10035.81
19;truck;67.66;false;10636.96
20;truck;69.14;true;6466.81
21;truck;67.24;true;16343.01
22;truck;68.67;false;14922.56
23;truck;67.62;false;13280.31
24;truck;69.39;true;6902.99
25;truck;66.64;true;16075.41
26;truck;67.09;false;14425.65
27;truck;68.57;false;13567.22
28;truck;68.69;true;17448.39
29;truck;69.69;false;13809.31
30;truck;65.65;false;5676.45
31;truck;66.91;true;13015.47
32;truck;65.88;true;8760.03
33;truck;67.09;true;11284.14
34;truck;66.36;false;18041.94
35;truck;65.55;true;16123.70
36;truck;65.20;false;11939.61
37;truck;66.85;true;7129.99
38;truck;67.76;false;7287.30
39;truck;68.28;false;18255.60
40;truck;68.04;false;19896.68
41;truck;68.08;true;7287.71
42;truck;69.16;true;12271.40
43;truck;67.97;true;9642.62
44;truck;68.36;true;14636.58
45;truck;69.22;false;18905.95
46;truck;68.87;false;14685.51
47;truck;67.66;false;13030.52
48;truck;69.99;true;14032.89
49;truck;65.40;false;17912.91
50;truck;68.64;true;15780.04
51;truck;69.71;false;10677.31
52;truck;69.13;true;10718.31
53;truck;66.51;true;17571.74
54;truck;65.73;true;12531.39
55;truck;65.24;false;11824.79
56;truck;66.67;false;7607.77
57;truck;69.83;true;11164.83
58;truck;66.12;true;11369.56
59;truck;65.21;true;14882.78
60;truck;65.46;false;12091.08
61;truck;66.18;true;11337.66
62;truck;69.25;false;16725.50
63;truck;69.31;false;7588.13
64;truck;67.32;false;19067.73
65;truck;66.96;false;5516.81
66;truck;65.34;true;10437.95
67;truck;66.77;true;13137.87
68;truck;67.32;true;13781.02
69;truck;68.07;true;12538.68
70;truck;66.23;true;7428.04
71;truck;67.22;true;17838.68
72;truck;69.17;true;7030.78
73;truck;67.82;true;8002.36
74;truck;66.23;false;5241.14
75;truck;68.67;false;9024.67
76;truck;68.30;false;11924.38
77;truck;66.91;true;14650.39
78;truck;67.76;true;8988.24
79;truck;65.85;false;9287.73
80;truck;66.23;true;19498.36
81;truck;67.05;true;7174.07
82;truck;65.20;true;10349.63
83;truck;69.18;false;13876.60
84;truck;67.83;false;16009.00
85;truck;66.89;true;10622.99
86;truck;69.86;false;19329.47
87;truck;68.00;true;17571.39
88;truck;65.61;false;7943.28
89;truck;67.22;false;7927.86
